0,1,2
news: ITV Denies 'Stitch Up' Over Brexit Debate https://t.co/1T4HrJrVB0,730759244979396608,Neutral
"RT @ajcdeane: For British fishermen, being in the EU isn't having more influence over European affairs. It's ceding control to the EU over…",730759228223279104,Positive
"[DAILY EXPRESS]: ANOTHER reason to quit EU: Brexit would 'create 300,000 extra jobs': NEW figures have reveal... https://t.co/MzC7fuXCB2",730759212507090944,Positive
RT @NewEuropeans: Deadline for #UKexpats to #Register to #Vote  in #EUReferendum is 16 May (next Monday). https://t.co/w2uZc1lRpS https://t…,730759212163305472,Neutral
"RT @theordinaryman2: Just think of all the jobs &amp; prosperity that will be created in Fishing Industry if UK #LeaveEU

 #WeWantOurFishBack h…",730759204747788288,Positive
And the best way to do that is #Brexit https://t.co/TkQpN0YSt4,730759202059259904,Positive
"RT @NCPoliticsEU: Review of the #EUref fundamentals from @whatukthinks, plus the below on phone vs online https://t.co/4hibwHdkGV https://t…",730759201472036864,Neutral
*Press Release* #EUReferendum #Referendum #InOrOut @BorisJohnson @Nigel_Farage @BBCNews @StrongerInPress @Telegraph https://t.co/bRqSOhILnU,730759188973006848,Neutral
RT @UKIPolizer: PICTURES: Farage Hailed A Hero On ‘#BrexitTheMovie’ Red Carpet #YouTube https://t.co/yQfqCqd1mR https://t.co/hHXlQ7CyOU,730759176452984832,Positive
"RT @theordinaryman2: the #EU are stealing our Fish

 #WeWantOurFishBack

#EUreferendum #LeaveEU #StrongerIn #Brexit #VoteLeave https://t.co…",730759173214871552,Positive
"RT @DianeJamesMEP: This is what the Unelected EU Elites who make decisions that affect your life, think of you! #BREXIT https://t.co/ufXtOi…",730759158195212288,Positive
Just read this very interesting article by @SteveBackshall discussing #brexit and conservation 🤔 https://t.co/WjDvH1pNg5,730759139077586944,Neutral
PICTURES: Farage Hailed A Hero On ‘#BrexitTheMovie’ Red Carpet #YouTube https://t.co/yQfqCqd1mR https://t.co/hHXlQ7CyOU,730759130642821120,Positive
"RT @MirrorPolitics: Bank of England governor warns Brexit could trigger recession
https://t.co/4P5RCrclKD https://t.co/HvTXWfoNzJ",730759122430361600,Negative
"RT @prweekuknews: .@BrexitTheMovie shows the power of simplifying ideas, writes @NicholasHDM https://t.co/1XwjHL8Zcn https://t.co/TmJ1ZgWgDH",730759084375429120,Positive
RT @EUVoteLeave23rd: WATCH: #MichaelHoward explains why we should #leave #EU in the time it takes to down a pint https://t.co/LqZnFH8p4J #B…,730759074204274689,Positive
"RT @theordinaryman2: Re-tweet if you are voting to #LeaveEU

#EUreferendum #VoteLeave #BelieveinBritain #BetterOffOUT #ILoveBritain https:/…",730764724678316032,Positive
"RT @IAJournal_CH: #Brexit - 'on national security the fight will be conducted through politics, ideology and spin': https://t.co/t2d8o6T6nr…",730764716927266816,Negative
RT @DianeJamesMEP: Absolutely right @Nigel_Farage @UKIP has place on #Brexit TV. Shame @David_Cameron is frit doing it head to head  https:…,730764715329245184,Positive
House Of Cards Creator “Pissed Off” With Obama over #Brexit - Heat Street https://t.co/jB99JuCJs7,730764712300838912,Neutral
RT @BreitbartLondon: PICTURES: Farage Hailed A Hero On ‘Brexit The Movie’ Red Carpet https://t.co/Jizat1j1SE https://t.co/vZnbNlo5mK,730764704134631424,Positive
"RT @Hannah_McGrath: World first review of Brexit:The Movie, now with exclusive red carpet pics for @timesredbox https://t.co/uZVFmHG9cy htt…",730764699407634432,Positive
"RT @BBCBreaking: UK interest rates unchanged at 0.5%; Bank of England also warns Brexit may lead to lower growth, higher unemployment https…",730764678037688320,Negative
"RT @UKIP: Read @Steven_Woolfe: True EU immigration figure 250,000 a year higher than first thought https://t.co/vcvXycxYfs",730764676846505984,Neutral
RT @adamboultonSKY: Personally I think it's appropriate that @Nigel_Farage should have a significant role in some #EUref special programmes,730764674346680320,Negative
"RT @RichardBurgon: Just seen this totalling up of votes cast in England in Council Elections: 
* Lab 38.5%
* Con 27.1%
* Lib Dem 12.8%
* UK…",730764665999986689,Neutral
"The message is clear - Brexit vote may spark recession, Mark Carney warns. We're #StrongerIn. #EUref https://t.co/G7Uz0VCg6d",730764651617759232,Negative
@BBCNews #Brexit @vote_leave @LeaveEUOfficial @GetBritainOut,730764649805828096,Positive
"RT @britinfluence: White House adviser: Brexit would hurt Britain, EU and global economy @CEAChair #EUref #UKinEU #StrongerIn #Bremain
http…",730764635616481280,Negative
RT @BreitbartLondon: PICTURES: Farage Hailed A Hero On ‘Brexit The Movie’ Red Carpet https://t.co/Jizat1j1SE https://t.co/vZnbNlo5mK,730764630394609665,Positive
https://t.co/9F72e6GzwJ VoteLeave @oflynnmep  @Stewart4Pboro https://t.co/GA9lectH4g,730764616834355200,Positive
"RT @DianeJamesMEP: This is what the Unelected EU Elites who make decisions that affect your life, think of you! #BREXIT https://t.co/ufXtOi…",730764615349493760,Positive
"RT @MirrorPolitics: Boris Johnson distances himself from Brexit campaign attack on ITV
https://t.co/anrCUsYiKR https://t.co/NVaEZcF3sF",730764614770798592,Neutral
"RT @UKIP: Read @Steven_Woolfe: True EU immigration figure 250,000 a year higher than first thought https://t.co/vcvXycxYfs",730764596995346432,Neutral
"RT @darryl1974: 8.7% of Britain First's 2nd choices plus 7.1% of BNP's went to Sadiq Khan, but only 6.3% of Ukip votes went his way https:/…",730764583615483904,Neutral
"Boris Johnson distances himself from Brexit campaign attack on ITV
https://t.co/anrCUsYiKR https://t.co/NVaEZcF3sF",730764581627383808,Neutral
"Brexit could lead to recession, says Bank of England https://t.co/F7o4Udshvv",730764573217804288,Negative
"RT @LSEnews: Explore our #LSEBrexitVote video series, covering all sides of the debate on #EUReferendum https://t.co/ONFWVlkLDI https://t.c…",730764572349607936,Neutral
RT @jenny_at_home: The government's #brexit leaflet has the same design as Cards Against Humanity. https://t.co/LM6EjoD21F,730764570361352193,Neutral
@UKIP I've watched Nigel at the European Parliament  - he should wipe the floor with Cameron.,730764563428327424,Positive
"I'm the Bane of your life, Dave! Boris channels menacing Batman villain as he tools up during... - https://t.co/k5XzQSfavU - #Batman",730764545237651456,Negative
"EU delay budget proposal until after #Brexit, need to cover migration expenses, inc.
££ help to Turkey &amp; Africa. https://t.co/eXkAyNNSel",730764545145380864,Negative
"RT @julia_reid: HoL: Nigel Farage at ""Trade Beyond the EU - BREXIT &amp; the Commonwealth with NZ Deputy PM Winston Peters MP https://t.co/RbQu…",730764531669073920,Neutral
RT @labourleave: Media are covering Tory and Labour Pro EU view and Tory and UKIP anti EU view. Why not include the Labour Anti EU view to?,730764531333513216,Neutral
RT @vote_leave: .@BorisJohnson getting down to business in Christchurch on the #VoteLeave #BattleBus tour https://t.co/bUkycSJTMM,730764522185736194,Negative
"If #Brexit goes through, I wonder how it would affect the @premierleague.",730764517584437248,Negative
RT @dan_stones: @BrexitTheMovie Loved the film last night. Brought my Romanian friend along so he could see why both our countries should #…,730764516586344448,Positive
RT @UKIP: Read @Steven_Woolfe: Europol's actions prove the threat of terrorism via the Balkan Migrant route https://t.co/klvtpwz0oH,730764515562901504,Positive
RT @adamboultonSKY: Personally I think it's appropriate that @Nigel_Farage should have a significant role in some #EUref special programmes,730764515093172224,Negative
"White House adviser: Brexit would hurt Britain, EU and global economy @CEAChair #EUref #UKinEU #StrongerIn #Bremain
https://t.co/puiq6WpK2V",730764501339934721,Negative
"RT @RedHotSquirrel: 43 days to enthuse the unenthused, enlighten the misinformed, win over waverers and reclaim our country. #VoteLeave htt…",730764498848649216,Positive
Some UK employers are unfazed by the potential impact of Brexit on their workforce https://t.co/c7lMitcaeF https://t.co/ujSfvPT6pn,730764494637563905,Neutral
It will be faster to come home #VoteLeave &gt;&gt; Business travellers fear Brexit due to delays at passport control https://t.co/yGsefk36hm,730764491047239681,Positive
RT @DavidMilwr: Clearly designed to upset  Brexit side and divide the groups Farage should not have accepted just couldn't resist https://t…,730764480645337088,Negative
"Mark Carney &amp; Mystic Meg went to same fortune telling school. Brexit vote may spark recession, Mark Carney warns https://t.co/3PcnOCUfhu",730764462991540224,Negative
RT @JamesJimCarver: My thanks to @winstonpeters for his excellent speech at Westminster on how #Brexit will boost Commonwealth trade. https…,730764448160481280,Neutral
RT @CommunitiesUK: Know a Brit living outside the UK? RT to remind them overseas voters should register by 16 May to vote in the #EUref htt…,730764412160778240,Neutral
RT @dair_allan: @welshpolitical seems everything is sorted and Labour cut a grubby backroom deal with UKIP. Labour - the #shame of Wales.,730764403700862976,Neutral
"Brexit may spark recession, Carney warns: The Bank of England has given its starkest warning yet that a vote ... https://t.co/EPrkcFs3iS",730764393449816064,Negative
RT @BrexitTheMovie: You're invited to the BREXIT THE MOVIE Premiere on the 11th May! https://t.co/s6Kaym53FU https://t.co/dPfJk422oF,730764370922352640,Positive
RT @JonathanPlaid: Labour to deal with UKIP -pure hypocrites. Looking forward to seeing their Welsh based MPs vent their disgust,730764367046819840,Neutral
RT @dan_stones: @BrexitTheMovie Loved the film last night. Brought my Romanian friend along so he could see why both our countries should #…,730764355915091968,Positive
GBP/EUR Exchange Rate Forecast to Strengthen as BoE Warn of ‘Brexit’ Risks: Bank of England... https://t.co/r2KvIXS44G #fx #forex #money,730764346511384576,Negative
"Brexit may spark recession, Carney warns: The Bank of England has given its starkest warning yet that a vote ... https://t.co/oTrn1gU6hL",730764329604153344,Negative
"RT @UKIP: Read @Steven_Woolfe: True EU immigration figure 250,000 a year higher than first thought https://t.co/vcvXycxYfs",730764315729530881,Neutral
"RT @theordinaryman2: Re-tweet if you are voting to #LeaveEU

#EUreferendum #VoteLeave #BelieveinBritain #BetterOffOUT #ILoveBritain https:/…",730764313489747968,Positive
RT @DianeJamesMEP: Absolutely right @Nigel_Farage @UKIP has place on #Brexit TV. Shame @David_Cameron is frit doing it head to head  https:…,730764271001468928,Positive
RT @BreitbartLondon: PICTURES: Farage Hailed A Hero On ‘Brexit The Movie’ Red Carpet https://t.co/Jizat1j1SE https://t.co/vZnbNlo5mK,730764239787397120,Positive
".@BrexitTheMovie shows the power of simplifying ideas, writes @NicholasHDM   https://t.co/VYjlOnIQUZ via #prweek… https://t.co/pYykoGu31Q",730764234490052608,Negative
RT @UKIP_PBO: UKIP have been fighting long and hard for Brexit. Now the rest of Peterborough is joining us. No matter what your... https://…,730764232548044800,Positive
"""Neither Holy, nor Roman, nor an Empire"" - so blueprint for the EU? #EUreferendum https://t.co/nJ7f4U4t7u https://t.co/ODoQNZvtdv",730764230899556353,Neutral
"Brexit vote may spark recession, Mark Carney warns https://t.co/6berF2q9J4",730764222234234880,Negative
"RT @simplysimontfa: 4 more good reasons to #VoteLeave - Blair, Brown, Cameron and Major: four Prime Ministers who led us into economic disa…",730764219382177792,Positive
What time Brexit The Movie on YouTube: told 3pm???,730764188231081984,Neutral
RT @iainjwatson: Essentially @Nigel_Farage's argument is no one party can win the referendum and there needs to be a broader range of brexi…,730764182900101120,Positive
Bank's warning of a Brexit double whammy is very handy for Osborne - https://t.co/4UhrMIMOVZ,730764179800461312,Neutral
Britische Notenbank warnt vor schweren „Brexit“-Folgen: Eine Rezession und steigende Arbe... https://t.co/w1h5mKM2fA via @FAZ_Wirtschaft,730764153049092096,Neutral
"RT @DianeJamesMEP: This is what the Unelected EU Elites who make decisions that affect your life, think of you! #BREXIT https://t.co/ufXtOi…",730764143888875520,Positive
RT @LBRuT_Help: EU Referendum Key Dates https://t.co/0JZtJorW4G #EUreferendum https://t.co/0iZwx14EY0,730764110242123776,Neutral
2/2 I'm starting to think instead that people in high places stand to lose an awful lot of cash #VoteLeave #Nottheendoftheworld,730764061756014592,Positive
@h_sharma @faisalislam Really? Predicting a small rise in interest rates is comparable to predicting a smash on Brexit?UH-huh.You said it.,730764058782240769,Negative
"RT @prweekuknews: .@BrexitTheMovie shows the power of simplifying ideas, writes @NicholasHDM https://t.co/1XwjHL8Zcn https://t.co/TmJ1ZgWgDH",730764053568757760,Positive
RT @UKIP: Read: UKIP Leader @Nigel_Farage's weekly referendum diary every Wednesday in the @Daily_Express https://t.co/hfLgOMvhdk,730764046081884160,Neutral
"@HelenP3617 but yes, that was also my thought - not that would be a deal, but that UKIP flip would tar Labour also - until recent briefings.",730764016897904640,Neutral
@SHill150 @ITV @vote_leave I am assuming you mean in the Brexit camp. The problem: Mr Farage's views are associated by some with racism.,730764001932656640,Negative
Swiss scientists share Brexit concerns https://t.co/fSQtMKeuLp (Google Alerts),730763983406301188,Neutral
"‘President Trump’ is scarier for markets than a Brexit, says star fund manager https://t.co/QvJsfxBhkp #VoteLeave",730763982840180736,Positive
"RT @Stevie_Leary: After all the usual @theSNP hype &amp; rhetoric, it's their voters leading the way for #Brexit in Scotland. #LeaveEU https://…",730763967447044097,Positive
BREXIT THE MOVIE - NAME THAT EUROCRAT https://t.co/ILxbH0gQ8L via @YouTube,730763952968372224,Positive
RT @JeffTijssen: Why #Brexit puts London's technology sector at risk https://t.co/vtMaiDmIxq via @standardnews @RussShaw1 @eileentso @Naomi…,730763937470353408,Negative
@Far_Right_Watch @erswell_tim I'm not a paid employee of UKIP you utter fool.,730763921032937472,Positive
RT @DianeJamesMEP: Absolutely right @Nigel_Farage @UKIP has place on #Brexit TV. Shame @David_Cameron is frit doing it head to head  https:…,730763880574660608,Positive
"RT @DianeJamesMEP: This is what the Unelected EU Elites who make decisions that affect your life, think of you! #BREXIT https://t.co/ufXtOi…",730763879349911552,Positive
"RT @JHSaltGroup: Got unticked boxes on your #BRexit decision list? 
Come to this debate to tick all. 
https://t.co/Q07YGhuGXf 
@jesushouseu…",730763866179801088,Neutral
RT @subtel1: Stop any further destruction of our manufacturing industries NOW. #VoteLeave #Brexit #EUref Sack Vatman &amp; Knobend https://t.co…,730763865814925312,Positive
RT @smiffymaid: There wouldn't of been a referendum if not for #Farage #UKIP's determination. Both have same goal #Brexit #LeaveEU https://…,730763864787329024,Positive
"RT @PeoplesNHS: IDS, member of posh Buck’s Club, says EU favours Haves over Have-nots But quiet on saving #NHS from #TTIP #EURef https://t.…",730763841873821698,Negative
@Construction_IC Barratt Development warning Brexit Camp,730763831480352768,Negative
RT @MitchellGoldie: My article for @vote_leave in my local newspaper #VoteLeave https://t.co/YV7tnU7nT2,730763805202993152,Positive
What's the most important thing for you to know the #InsAndOuts of in the #EUReferendum?,730763796176834561,Neutral
Green Party Agriculture Spokesperson from the South West on yesterday's EU migration report #EUreferendum #GreenerIN https://t.co/Gc23ilZbfV,730763788228644865,Neutral
RT @DianeJamesMEP: Absolutely right @Nigel_Farage @UKIP has place on #Brexit TV. Shame @David_Cameron is frit doing it head to head  https:…,730763779458355200,Positive
@HelenP3617 except they've no need to: &amp; as soon as that balloon went up UKIP AMs brought it down by saying no talks. Same spin won't stick.,730763761712267264,Neutral
I'll be toasting with Scotch not Champagne on 24/6 to keep £ in UK #VoteLeave &gt; Brexit 'risks Scotch whisky exports' https://t.co/7FcecZyKeQ,730763754992992257,Negative
RT @James_Sloam: @RoyalHolloway #VoteBecause campaign to boost student turnout in #EUref -post your reasons for voting! @nusuk https://t.co…,730763742384951296,Neutral
RT @FullFact: Explaining the EU deal: is it legally binding? https://t.co/wuRS1AwoU8 #NISLON #EUref https://t.co/2uT3Kl0KYN,730763740929507328,Neutral
"RT @PolisLSE: ""One of the key jobs as a factchecker is thinking about what’s being said, and also what isn’t being said.""@asippi on the #EU…",730763733304266752,Positive
"RT @dailyexpressuk: [DAILY EXPRESS]: ANOTHER reason to quit EU: Brexit would 'create 300,000 extra jobs': NEW figures have reveal... https:…",730763727503511552,Positive
Don't forget to register if you want to vote in the #EURef https://t.co/dwoxTULjJI https://t.co/zDqgyJ3Nnm,730763723791581184,Neutral
RT @BreitbartLondon: PICTURES: Farage Hailed A Hero On ‘Brexit The Movie’ Red Carpet https://t.co/Jizat1j1SE https://t.co/vZnbNlo5mK,730763716875157505,Positive
Get up to 250% bonus on new forex accounts - https://t.co/izcg4rUiGf Germany's Schaeuble says on Brexit Access ... https://t.co/o5BylIEZLT,730763704560701440,Neutral
@oop100 @iVoteLeave I steer clear of people who warn of 'serious consequences'. They can't trust the Father of Brexit to make their case?!,730763680586010626,Negative
RT @sophgaston: The #Brexit Twittersphere: new @Demos blog maps networks beneath the campaign battleground https://t.co/U9dtkJp2IK https://…,730763678153363456,Neutral
"RT @jonnohopkins: Pranking UKIP's David Coburn during a Periscope broadcast by telling him his mic's not on. Highlight of the week.
https:/…",730763673141166080,Neutral
Farage’s “big night” should worry the Ukip People’s Army – UK in a changing Europe https://t.co/OK99gBOkX5,730763666623172608,Negative
RT @BradcoachGSC: #Brexit  Mark Carney doesn't have best track record on forecasting what the economy will do.  Ignore his comments @eurefe…,730763666501570560,Negative
@Amathyst25 erm... NIESR says there will be an economic shock too. And economy will be 1.5pc to 7.8pc smaller if Brexit! #VoteRemain,730763661195804673,Negative
"""Brexit vote may spark recession, Mark Carney warns"" There will be one regardless of EU Ref outcome.  Already started in manufacturing.",730763657056006145,Negative
RT @MeetingsShow: The Meetings Show to host #Brexit debate with @Eventhuddle - one not to miss! https://t.co/Gy4mysrhnb #eventprofs https:/…,730763652345831424,Neutral
"RT @ajcdeane: How many people working for the #EU do you think are paid more than the UK PM? 5? 10? No. 10,000. #brexitthemovie #Brexit",730763644007546881,Positive
@Vaughan_Wms @wimthetim  For Welsh Labour replace Tory with UKIP! https://t.co/yHrFdLMBjI,730763633941217280,Neutral
RT @BreitbartLondon: PICTURES: Farage Hailed A Hero On ‘Brexit The Movie’ Red Carpet https://t.co/Jizat1j1SE https://t.co/vZnbNlo5mK,730763628123656192,Positive
RT @LBC: David Cameron will take on Nigel Farage in a #Brexit debate. Who do you think will win? https://t.co/PDbaEdQQMV,730763620641079297,Neutral
RT @UKIP: Will you be watching? https://t.co/2iK88EZIcJ,730763619315687424,Neutral
RT @dmck52: Received governments Pro EU propaganda booklet today. Vote #LeaveEU https://t.co/kgi5H9gwUh,730763577389355008,Positive
"RT @prweekuknews: .@BrexitTheMovie shows the power of simplifying ideas, writes @NicholasHDM https://t.co/1XwjHL8Zcn https://t.co/TmJ1ZgWgDH",730763550877224961,Positive
Touchstone Blog: Brexit bonfire of regulations would be a bonanza for worst kind of finan... https://t.co/wYRnc9FS4p via @touchstoneblog,730763547618091012,Negative
Today we held the voting for our mock #EUreferendum It was brilliant to see so many pupils of all ages voting. https://t.co/UMYVf4gwI6,730763541976911872,Positive
Get up to 250% bonus on new forex accounts - https://t.co/B5W21A154C Germany's Schaeuble says on Brexit Access ... https://t.co/MAF73C9SOd,730763536884867073,Neutral
"RT @CllrBSilvester: Bryant's UKIP Bashing Comes Back to Bite Him 
https://t.co/hSTeJqksab via @guidofawkes",730763533701529600,Positive
"RT @ajcdeane: How many people working for the #EU do you think are paid more than the UK PM? 5? 10? No. 10,000. #brexitthemovie #Brexit",730763525174525952,Positive
"@itvnews 
In this referendum the whole is much more important than the parts, all of Brexit spoke's people are brilliant debaters. Vote out",730763516609765380,Positive
RT @davidicke: Brexit poll: Almost half of Europeans want own vote on leaving EU: https://t.co/BMOwGvINqn #Brexit #EU #Cameron https://t.co…,730763513992478720,Neutral
RT @labourleave: Media are covering Tory and Labour Pro EU view and Tory and UKIP anti EU view. Why not include the Labour Anti EU view to?,730763507478728704,Neutral
"JDW boss Tim Martin gives £200,000 to Brexit campaign https://t.co/uVPvfbdp3y @jdwtweet https://t.co/bizjdwJ9WR",730763494967152641,Neutral
"RT @DianeJamesMEP: This is what the Unelected EU Elites who make decisions that affect your life, think of you! #BREXIT https://t.co/ufXtOi…",730763493503340544,Positive
Excited to go to House of Lords for #Brexit debate w @WiPPuk! Newbie to the UK &amp; ready to learn more #PublicPolicy https://t.co/nCbbW5hhOs,730763490139508736,Neutral
RT @FullFact: Explaining the EU deal: is it legally binding? https://t.co/wuRS1AwoU8 #NISLON #EUref https://t.co/2uT3Kl0KYN,730763487027314689,Neutral
How the Brexit campaigns match up https://t.co/C2X6VYCMHv @marketingweeked #news,730763483168542720,Neutral
RT @VernallsE: Spread the Word https://t.co/dgd4v70Fm7 #voteleave via @vote_leave,730763476080185344,Positive
RT @JamesJimCarver: My thanks to @winstonpeters for his excellent speech at Westminster on how #Brexit will boost Commonwealth trade. https…,730763472024293376,Neutral
"RT @wearebankable: Bankable supports a European Britain. #StrongerIn

https://t.co/fUkU6dB3hf #fintech #startups #innovation #tech https://…",730763461903450112,Negative
RT @gale_adam: Really looking forward to the #Brexit movie premiere this evening in #leicestersquare. #Britain @BrexitTheMovie @vote_leave…,730763456866078720,Positive
RT @LeftFootFwd: Boris Johnson's #Brexit Bus is peddling a lie - we don't 'send EU £350m a week'. https://t.co/5i5blcXREz #BorisBus https:/…,730763455133798400,Negative
RT @plymouthcc: Make sure you’re registered to vote in the #EURef on 23 June – deadline is 7 June https://t.co/8JhoYJ4oSE,730763443452710912,Neutral
Vote Leave Brexit Campaign Accused Of 'Shocking Bullying Tactics' Against ITV https://t.co/Li9BgoeRu6,730763441045176320,Negative
More scaremongering @D_Blanchflower. #brexit #VoteLeave All speculation and no substance.,730763419624833024,Positive
RT @BreitbartLondon: PICTURES: Farage Hailed A Hero On ‘Brexit The Movie’ Red Carpet https://t.co/Jizat1j1SE https://t.co/vZnbNlo5mK,730763414553923584,Positive
"""One of the key jobs as a factchecker is thinking about what’s being said, and also what isn’t being said.""@asippi on the #EUref #NISLON",730763408270856192,Neutral
RT @thgreenparty: So many of our environmental &amp; social policy achievements are at risk from the Tory-UKIP #Brexit group. #GreenerIN https:…,730763407490744320,Neutral
"1/2 So far this weak we've been told brexit could lead to possible war, a recession and now Dodgy Dave is picking his opponents.  #VoteLeave",730763406765113344,Positive
"@PaulGreig69 @bbclaurak Why? Given the millions of £s Gvnmt is spending on Remain, I think Whittingdale's can say what he wants #Brexit",730763394861682688,Negative
Imagine if we #VoteLeave on 23 June https://t.co/Pj7GRWntJN,730763391795625984,Positive
RT @t0nyyates: Economists against Brexit https://t.co/QCm8ydeOqR,730763383570599936,Negative
RT @Daily_Express: Ukip leader @Nigel_Farage CONFIRMED to take part in EU debate with Prime Minister #BREXIT https://t.co/cD9raQtA31 https:…,730763337986920448,Neutral
"ANOTHER reason to quit EU: Brexit would 'create 300,000 extra jobs': NEW figures have revealed that an extra ... https://t.co/clNEW3Yyeq",730763324418187264,Positive
RT @Daily_Express: Ukip leader @Nigel_Farage CONFIRMED to take part in EU debate with Prime Minister #BREXIT https://t.co/cD9raQtA31 https:…,730763321662685185,Neutral
RT @LBC: David Cameron will take on Nigel Farage in a #Brexit debate. Who do you think will win? https://t.co/PDbaEdQQMV,730763321322967040,Neutral
RT @gemini2359: #EUref Well what do you expect ! He was a member of the Bullingdon Club ! Boris Johnson's camp just threatened ITV https://…,730763307838279680,Neutral
"RT @4941ac: Profile: Neil Hamilton, UKIP’s genial but shamelessly selfish new leader in Cardiff Bay  
https://t.co/mWkKLZhMDI",730763283364450306,Neutral
RT @Steven_Woolfe: Who can trust a man who signed the Lisbon Treaty with out the consent of British people? Gordon brown is irrelevant in t…,730763279279226880,Negative
RT @Daily_Express: Brexit the Movie reveals how smug Eurocrats have DESTROYED democracy in Britain: https://t.co/a3jrV6eZrn https://t.co/9b…,730763254792900609,Positive
Explaining the EU deal: is it legally binding? https://t.co/wuRS1AwoU8 #NISLON #EUref https://t.co/2uT3Kl0KYN,730763250154016768,Neutral
UK house prices: Housing market has 'fully recovered from the crash' but Brexit concerns loom https://t.co/yUux8OZCyr,730763238577688576,Neutral
"GQ's June issue is now out, featuring features on Leonardo DiCaprio, BREXIT and The Manic Street Preachers. ""In our… https://t.co/s5sNZUavni",730763234018480129,Positive
RT @swainjo: the polarised #brexit debate on Twitter visualised. Interesting to see certain media positions. https://t.co/SaA1OLV3vJ,730763219824971777,Neutral
"RT @David_S_Moon: Plaid, to me, have played their card. I don't see they've another. If Labour offers them nowt &amp; they block again its more…",730763204205379584,Positive
Which airport? Consider this:   Brexit occurs. Cameron resigns. Boris becomes PM. He will have no other choice other than Boris Island.,730763196085211136,Neutral
RT @MarkJLittlewood: This is going to be awesome....https://t.co/K5Vbn22VD2 @BrexitTheMovie,730763186568331265,Neutral
RT @JamesJimCarver: My thanks to @winstonpeters for his excellent speech at Westminster on how #Brexit will boost Commonwealth trade. https…,730763184605384704,Neutral
"RT @David_S_Moon: The issue in Wales is now one of *perception*. Labour paint Plaid as working w. UKIP/Tories to gain power, Plaid protest…",730763177470873600,Neutral
